Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-07-01,LAREDO FIELD,9404.0,109.0,3931.1694517803912
2022-07-01,LAREDO SECTOR,6603.0,25.0,402.4967
2022-07-01,LOS ANGELES,1929.0,227.0,2199.491052204781
2022-07-01,MIAMI FIELD,1787.0,659.0,1019.3239793964594
2022-07-01,MIAMI SECTOR,316.0,2.0,0.0501
2022-07-01,NEW ORLEANS,895.0,165.0,740.8913860658216
2022-07-01,NEW YORK,4799.0,887.0,3661.220114014156
2022-07-01,PORTLAND FIELD,592.0,6.0,13.390657331618
2022-07-01,PRECLEARANCE FIELD,880.0,38.0,3.203867822515
2022-07-01,RAMEY SECTOR,107.0,2.0,2240.721
2022-07-01,RIO GRANDE,35189.0,64.0,1652.1275999999998
2022-07-01,SAN DIEGO,21972.0,281.0,12409.571466032263
2022-07-01,SAN FRANCISCO,1310.0,69.0,249.2161847987072
2022-07-01,SAN JUAN,474.0,94.0,1300.0051555221403
2022-07-01,SEATTLE FIELD,2851.0,224.0,253.5994816304698
2022-07-01,SPOKANE SECTOR,7.0,16.0,1.0497999999999998
2022-07-01,SWANTON SECTOR,142.0,3.0,0.0018
2022-07-01,TAMPA FIELD,667.0,36.0,19.735318723489797
2022-07-01,TUCSON FIELD,1097.0,75.0,1787.3582823276497
2022-07-01,TUCSON SECTOR,16623.0,73.0,352.0722
2022-07-01,YUMA SECTOR,24460.0,15.0,119.1949
2022-08-01,ATLANTA FIELD,1791.0,18.0,20.1550788703378
2022-08-01,BALTIMORE FIELD,1500.0,103.0,461.8101707141534
2022-08-01,BIG BEND,1400.0,68.0,13865.3846
2022-08-01,BLAINE SECTOR,27.0,1.0,0.0778
2022-08-01,BOSTON FIELD,2884.0,73.0,411.1303059255934
2022-08-01,BUFFALO FIELD,9944.0,113.0,179.2405809908592
2022-08-01,BUFFALO SECTOR,16.0,0.0,0.0
2022-08-01,CHICAGO FIELD,3935.0,677.0,6466.296043604881
2022-08-01,DEL RIO,52735.0,29.0,1.3668999999999998
2022-08-01,DETROIT FIELD,1403.0,120.0,56.4692699273586
2022-08-01,DETROIT SECTOR,24.0,9.0,32.4609
